Crop,Sunlight,Water,Space,Yield_per_sq_meter,Soil_type,Water_efficiency,Growth_time,Temperature_range,Pest_resistance,Crop_rotation,Harvest_frequency,Economic_value
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
Beans,medium,medium,2,2,clay,medium,90,moderate,high,yes,biannual,8
Corn,high,high,3,5,loamy,low,150,hot,low,no,annual,15
Lettuce,high,low,1,4,sandy,high,60,cool,medium,yes,biannual,5
Wheat,medium,medium,2,3,loamy,medium,120,moderate,high,yes,annual,10
